congress,chamber,icpsr,district_code,state_abbrev,party_code,bioname,d1
91,House,12008,12,NY,D,"CHISHOLM, Shirley Anita",-1.86
91,House,12013,28,NY,R,"FISH, Hamilton, Jr.",-0.215
91,House,12017,38,NY,R,"HASTINGS, James Fred",-0.086
91,House,12019,17,NY,D,"KOCH, Edward Irving",-1.887
91,House,12021,5,NY,D,"LOWENSTEIN, Allard Kenneth",-1.834
91,House,12024,27,NY,R,"McKNEALLY, Martin Boswell",0.168
91,House,3321,2,NC,D,"FOUNTAIN, Lawrence H.",1.432
91,House,5019,9,NC,R,"JONAS, Charles Raper",1.515
91,House,5606,7,NC,D,"LENNON, Alton Asa",1.441
91,House,9230,11,NC,D,"TAYLOR, Roy Arthur",-0.198
91,House,10527,3,NC,D,"HENDERSON, David Newton",2.412
91,House,10574,10,NC,R,"BROYHILL, James Thomas",-0.137
91,House,10788,1,NC,D,"JONES, Walter Beaman, Sr.",-0.258
91,House,11017,4,NC,D,"GALIFIANAKIS, Nick",-0.226
91,House,12026,5,NC,R,"MIZELL, Wilmer David (Vinegar Bend)",1.375
91,House,12027,6,NC,D,"PREYER, Lunsford Richardson",-0.188
91,House,12028,8,NC,R,"RUTH, Earl Baker",-0.192
91,House,10569,1,ND,R,"ANDREWS, Mark",-0.223
91,House,11024,2,ND,R,"KLEPPE, Thomas Savig",-0.01
91,House,267,9,OH,D,"ASHLEY, Thomas William Ludlow",0.072
91,House,310,14,OH,R,"AYRES, William Hanes",1.31
91,House,680,8,OH,R,"BETTS, Jackson Edward",-0.065
91,House,891,16,OH,R,"BOW, Frank Townsend",-0.2
91,House,2533,12,OH,R,"DEVINE, Samuel Leeper",2.081
91,House,3092,20,OH,D,"FEIGHAN, Michael Aloysius",-0.214
91,House,4247,18,OH,D,"HAYS, Wayne Levere",-0.081
91,House,5301,19,OH,D,"KIRWAN, Michael Joseph",-0.024
91,House,5495,5,OH,R,"LATTA, Delbert Leroy",-0.19
91,House,6204,4,OH,R,"McCULLOCH, William Moore",-0.226
91,House,6548,23,OH,R,"MINSHALL, William Edwin, Jr.",-0.198
91,House,9623,22,OH,D,"VANIK, Charles Albert",-0.336
